Имя;Биография; 
"Айн Ренд";"Американская писательница и философ еврейского происхождения родом из России, драматург и сценарист. Айн Рэнд известна своими двумя романами-бестселлерами — «Источник» и «Атлант расправил плечи».";
"Иосиф Александрович Бродский";"Русский и американский поэт, эссеист, драматург, переводчик, лауреат Нобелевской премии по литературе 1987 года, поэт-лауреат США в 1991—1992 годах.";
"Маргарет Митчелл";"Американская писательница, автор романа «Унесённые ветром». Роман, вышедший в 1936 году, получил Пулитцеровскую премию, выдержав более 70 изданий в США, и был переведён на 37 языков мира.";
"Никколо Макиавелли";"Итальянский мыслитель, философ, писатель, политический деятель — занимал во Флоренции пост секретаря второй канцелярии, отвечал за дипломатические связи республики, автор военно-теоретических трудов.";
"Теодор Драйзер";"Американский писатель и общетсвенный деятель";
"Уолтер Айзексон";"Американский журналист, писатель и биограф; автор популярных биографий Стива Джобса, Генри Киссинджера, Бенджамина Франклина и Альберта Эйнштейна. Президент Аспенского института.";
